"Commune","Année","Semestre","Trimestre","Type de bâtiment","Superficie du terrain","Nombre de ventes","Prix médian","1er quartile du prix","3ème quartile du prix"
"Anderlecht","2014","1er semestre 2014",,"Appartements","100-299m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Appartements","300-599m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Appartements","600-999m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Appartements","1000-1499m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Appartements",">=1500m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",20,235000,222500,255000
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",68,238500,175000,270000
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",7,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",6,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",1,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",1,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",2,,,
"Anderlecht","2014","2ème semestre 2014",,"Appartements","Superficie inconnue",303,133750,109000,160000
"Anderlecht","2014","2ème semestre 2014",,"Appartements","0-99m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Appartements","100-299m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Appartements","300-599m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Appartements","600-999m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Appartements","1000-1499m²",,,,
"Anderlecht","2014","2ème semestre 2014",,"Appartements",">=1500m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",3,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",15,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",77,250000,215000,289000
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",9,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",3,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",1,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Appartements","Superficie inconnue",293,134000,100000,168000
"Anderlecht","2015","1er semestre 2015",,"Appartements","0-99m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Appartements","100-299m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Appartements","300-599m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Appartements","600-999m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Appartements","1000-1499m²",,,,
"Anderlecht","2015","1er semestre 2015",,"Appartements",">=1500m²",,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",2,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",15,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",52,255500,225000,307500
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",10,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",2,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",2,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2015","2ème semestre 2015",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",1,,,
